price,mileage,year,featureCount,isOneOwner
48995,-29090,2011,-53,0
36777,-70463,2010,-85,0
31000,-54525,2008,-72,0
49900,-25200,2011,-46,0
16900,-67000,2006,-48,0
55995,-21921,2013,-77,0
12892,-129174,2005,-48,0
53799,-34000,2012,-48,1
25995,-85959,2008,-29,0
16495,-92999,2006,-26,0
28995,-91093,2007,-6,0
12991,-121896,2005,-37,0
75900,-1997,2013,-49,0
21885,-102900,2007,0,0
59995,-21550,2013,-45,0
18900,-119550,2007,-54,0
41995,-43600,2011,-45,1
22282,-91765,2007,-74,0
21995,-108000,2007,-50,0
26950,-79479,2007,-78,0
29800,-67114,2007,-70,0
16999,-60110,2006,-67,0
8488,-91838,2000,-73,0
10999,-116289,2005,-58,0
6995,-141251,1996,-16,0
39998,-47713,2009,-59,0
55995,-33973,2011,-75,0
48992,-34842,2010,-5,0
50900,-31187,2011,-70,1
49888,-20257,2012,-34,0
5995,-112446,2002,-30,1
13995,-75941,2002,-27,0
14900,-118000,2006,-56,0
38296,-30805,2008,-33,0
33991,-65938,2008,-54,0
49800,-33278,2012,-71,0
11980,-105202,2004,-2,0
12900,-92165,2004,-54,0
23743,-99376,2008,-32,0
38888,-66689,2010,-7,1
19999,-106752,2007,-52,0
55990,-23088,2009,-65,0
19997,-127064,2008,-68,0
18981,-20852,2006,-5,0
29999,-47889,2007,-57,0
28990,-103921,2008,-74,0
15178,-85990,2006,-80,1
59888,-31048,2007,-15,0
37988,-63270,2011,-87,0
34900,-51000,2008,-4,0
16000,-95278,2006,-56,0
11995,-86863,2004,-39,0
48999,-35394,2011,-70,0
55995,-24948,2011,0,0
56999,-22832,2013,-74,0
13900,-66231,2001,-6,0
7957,-139887,2003,-21,0
14990,-79174,2003,-12,0
53750,-50000,2011,-29,0
78743,-3779,2013,-78,1
10990,-72576,2002,-107,0
14888,-68622,2001,-54,0
63689,-13173,2013,-69,1
49995,-36357,2013,-19,1
38974,-51839,2010,-69,0
2900,-231760,2001,-29,0
30995,-50198,2008,-46,0
20995,-99645,2007,-48,0
7995,-117628,2002,-52,0
30988,-81515,2007,-10,0
59982,-26802,2012,-37,1
8999,-129692,2002,-23,0
15888,-116299,2006,0,0
29690,-54037,2009,-79,0
49998,-52616,2011,-13,0
10999,-124177,2005,-13,0
51981,-28863,2011,-2,1
48992,-49343,2011,-66,1
29992,-67965,2008,-27,0
21500,-158000,2008,-64,0
13990,-69720,2001,-3,0
48995,-28930,2011,-51,0
12888,-157330,2005,-13,0
20995,-102656,2007,-22,0
36995,-89589,2007,-36,0
72991,-5562,2013,-40,0
38990,-61716,2010,-71,0
58998,-40219,2012,0,0
8100,-131121,2002,-61,0
