price,mileage,year,featureCount,isOneOwner
63949,-14370,2013,-76,0
29991,-69564,2008,-82,0
7999,-125600,2004,-54,0
29991,-65499,2008,-63,0
31999,-70954,2008,-70,1
44900,-53850,2012,-49,0
10980,-153001,2006,0,0
39988,-27007,2010,-61,0
49995,-17027,2010,-52,0
25999,-39926,2007,-81,0
27890,-75675,2007,-59,1
39491,-60390,2010,-68,0
33900,-36169,2007,-49,0
8987,-140927,2002,-45,0
7990,-83770,2003,-48,0
11900,-138939,2006,-23,0
40995,-18505,2011,-33,0
5995,-163027,1995,-35,0
28995,-49419,2007,-66,1
8500,-85506,2001,-53,0
6950,-140636,2004,-53,0
28995,-73765,2007,-61,0
62888,-23960,2012,0,0
9995,-120074,2004,-8,0
66995,-14656,2013,-7,0
34991,-64956,2007,-22,0
35991,-52369,2008,-21,0
47900,-40270,2012,-32,0
26000,-93001,2007,-6,0
56900,-27149,2008,-1,0
43995,-59191,2010,-31,0
26489,-91896,2008,-63,0
35885,-105411,2009,-62,0
28995,-87651,2007,-43,1
42950,-46648,2010,-76,1
64987,-36885,2010,-78,0
44777,-52616,2012,-61,0
9995,-94661,2004,-39,0
22890,-97340,2007,-62,0
21987,-109899,2007,-55,0
3950,-194500,1995,-41,0
8500,-81464,2000,-46,0
48995,-48731,2009,-55,0
4995,-123444,1998,-4,0
45995,-31997,2010,-38,1
58995,-26661,2012,-4,0
13900,-99614,2006,-51,0
2700,-255419,1998,-13,0
55998,-13390,2012,-80,0
11980,-100970,2002,-58,0
26900,-112810,2007,-20,0
7995,-103839,2002,-20,0
33995,-50735,2007,-80,0
11980,-77906,2000,-12,0
28995,-81034,2008,0,0
7994,-62465,2001,-35,0
10991,-84283,2001,-12,0
48999,-31635,2007,-33,0
18995,-64063,2006,-69,1
39991,-83869,2009,-38,0
32777,-80113,2010,-46,0
59977,-22243,2011,-65,1
28977,-81074,2008,-61,0
9000,-92670,2002,-74,0
50995,-12726,2013,-35,1
21994,-99493,2007,-64,0
33998,-118884,2009,-4,0
55898,-13897,2013,-18,0
16991,-101182,2005,-19,1
11999,-98073,2005,-71,0
54900,-10010,2012,-63,1
47800,-71494,2009,-40,0
37995,-62574,2011,-5,1
20000,-106035,2007,-4,0
34990,-59303,2008,-70,0
74991,-14319,2013,0,0
14990,-70000,2004,-39,0
46994,-21356,2011,-58,0
23917,-80082,2007,-75,0
32888,-83768,2008,-54,0
11000,-70031,2001,-2,1
4995,-182000,2000,-20,0
31991,-53543,2007,-57,0
64991,-28210,2012,-24,0
32996,-20274,2010,-48,0
27955,-75220,2007,-65,1
7995,-134605,2003,-49,0
36900,-35452,2010,-20,0
33491,-62767,2009,-43,0
14900,-40085,2002,-56,0
35993,-49137,2008,-22,0
24000,-99300,2007,0,0
32985,-63907,2008,-61,0
32890,-69852,2010,-41,0
59888,-37622,2012,-17,0
27995,-99852,2007,-30,0
45000,-45440,2010,-11,1
15999,-78345,2006,-30,0
33970,-47776,2008,-66,1
46990,-20027,2011,-7,0
6990,-130630,2000,-60,0
27995,-84196,2007,-36,0
8995,-104879,2003,-47,0
4995,-181361,1995,-23,0
6999,-156299,2000,-17,0
60500,-23900,2013,-74,0
33995,-41887,2007,-19,1
9995,-72452,2001,-38,1
15499,-86950,2007,-57,1
50949,-23879,2012,-65,0
52995,-13083,2011,-85,1
33995,-38425,2007,-9,0
56900,-22650,2013,-94,0
5999,-126548,1996,-43,0
30950,-57095,2007,-53,0
22995,-60275,2007,-39,0
34995,-58752,2010,-86,0
44880,-32223,2012,-12,1
47995,-44428,2013,-63,1
38900,-22512,2008,-75,0
66888,-38275,2010,-60,1
16488,-99416,2006,-47,0
4800,-120255,2001,-14,0
57275,-18487,2013,-85,0
52877,-30490,2011,-26,0
52900,-42868,2011,-55,1
13998,-56155,2003,-9,1
27900,-67600,2007,-56,0
13995,-83755,2003,-32,0
35900,-66631,2008,-45,0
24950,-86000,2007,-3,0
10441,-98747,2004,-23,0
69991,-23232,2009,-66,0
11495,-112562,2005,-38,0
26984,-54893,2007,-11,0
45977,-27495,2011,-84,1
6995,-112503,2000,-32,0
28972,-43760,2007,-64,0
71949,-19196,2013,-32,1
51995,-22307,2012,-4,0
35995,-45009,2009,-54,0
31895,-67862,2008,-70,0
77991,-9862,2013,0,0
58990,-33329,2012,0,1
12993,-103910,2005,-3,1
9500,-111615,2003,-51,0
12995,-92350,2001,-23,0
64810,-19389,2013,-61,1
39988,-55370,2010,-48,0
14988,-72332,2004,-53,0
8000,-114000,2001,-22,0
18888,-65608,2006,-53,1
49999,-5884,2011,-67,0
24988,-112106,2008,-48,0
28895,-65667,2008,-58,0
12995,-118892,2005,-8,0
27995,-75002,2007,-53,0
6990,-117352,2000,-6,0
9900,-131307,2005,-56,0
16900,-87142,2004,0,0
37995,-56101,2008,-41,0
52950,-39062,2011,-36,0
61999,-25475,2012,0,1
51850,-42724,2012,-77,0
12994,-78126,2003,-70,0
56490,-34481,2013,-85,1
2997,-154966,1997,-1,0
51890,-26909,2013,-48,1
43999,-35475,2011,-71,0
30789,-68176,2007,-11,1
49995,-50142,2007,-53,0
52500,-26900,2012,-82,0
42995,-69661,2010,0,0
6995,-82745,1998,-21,0
61900,-25685,2012,-79,0
26995,-67805,2007,-59,0
48995,-17287,2012,-83,0
64894,-27295,2013,-81,0
71995,-42037,2012,-78,0
13919,-88617,2004,-29,0
29999,-42271,2010,-71,1
57949,-33003,2012,-82,1
62992,-30767,2012,-22,1
24999,-59082,2008,-69,0
58995,-13761,2013,-92,1
59990,-24021,2013,-52,1
5995,-155600,2001,-19,0
36990,-51720,2008,-74,0
27900,-58400,2007,-48,0
44995,-31000,2011,-62,0
22995,-49378,2003,-43,0
28777,-67540,2008,-49,1
27966,-57598,2008,-41,0
15990,-65752,2005,-55,0
50395,-36756,2010,-75,0
6888,-178984,2000,0,0
28500,-61930,2008,-50,0
6494,-105947,1999,0,0
25410,-100042,2008,-63,0
6995,-162000,2001,-26,0
10800,-106586,2004,-40,0
24999,-54401,2007,-57,0
57991,-26225,2012,-78,0
17999,-19552,2006,-58,0
33900,-61510,2007,-1,0
24955,-87389,2007,-58,0
24999,-127785,2009,-20,0
49995,-27776,2013,-71,1
23551,-100427,2007,-30,0
4947,-137412,2001,-39,0
13900,-116207,2005,-39,0
26850,-70050,2009,-51,0
7000,-111363,2003,-16,0
51990,-19832,2012,-51,1
52995,-28260,2011,-72,1
29999,-64786,2009,-78,1
36900,-27300,2007,-72,0
46800,-24339,2010,-26,0
44799,-52602,2011,-45,0
3900,-199000,1995,-15,0
6295,-163328,2000,-20,0
34991,-104022,2009,-23,0
54789,-14119,2012,-80,0
36990,-67145,2007,-41,0
29995,-92149,2008,-44,1
11900,-92879,2003,-33,0
14991,-90262,2005,-64,0
34995,-71861,2011,-31,0
22995,-96247,2008,-65,0
9495,-113755,2002,-38,0
29999,-69617,2007,-54,0
79995,-12005,2013,-5,1
33978,-75782,2008,-56,0
7335,-105163,2004,-52,0
44884,-45138,2009,-68,0
1899,-209874,2001,-6,0
34900,-89700,2010,-83,0
10990,-168438,2000,-42,0
10995,-38506,2002,-18,0
48995,-38224,2013,-44,1
44810,-34337,2010,-71,0
33995,-69600,2007,-55,0
20990,-85099,2007,-103,0
31964,-67185,2007,-85,0
5900,-105725,1996,-35,0
28995,-67500,2007,-45,0
39888,-49792,2008,-21,0
62000,-17363,2012,-71,1
30650,-66719,2007,0,0
44750,-34643,2011,-76,1
31995,-83181,2008,-46,0
32900,-58831,2008,-67,0
27500,-60865,2007,-6,0
7500,-88853,1995,-39,0
54800,-21210,2013,-51,0
8991,-82535,2001,-60,0
12981,-107536,2004,-45,0
24691,-93987,2007,-80,0
49795,-31502,2012,-79,0
25950,-89658,2007,-54,0
9999,-131282,2003,-58,0
23995,-124322,2008,-54,0
48900,-56821,2010,-55,0
33900,-54450,2007,-53,0
19688,-69724,2006,0,0
29900,-71581,2008,-68,0
49990,-43115,2010,-36,0
12500,-81343,2005,-38,0
56800,-45631,2012,-69,0
4995,-182524,2000,-42,0
25599,-81854,2007,-43,1
24995,-71032,2007,-27,1
30995,-69400,2009,-21,0
27999,-66899,2008,0,0
11978,-77990,2002,-12,0
5788,-126002,2001,-6,0
35877,-63032,2009,-97,0
37491,-57714,2009,-26,0
38995,-39683,2011,-41,0
39995,-35571,2010,-54,0
25995,-66040,2007,-57,0
40988,-58250,2010,-50,0
42975,-51741,2010,-55,0
20995,-122137,2007,-30,0
32966,-40821,2007,-47,0
43999,-29865,2010,-73,1
7995,-166255,2002,-46,0
36995,-86300,2008,-5,0
34388,-54690,2009,-58,0
28979,-72193,2007,-58,0
9999,-120891,2003,-53,0
23997,-59735,2006,-18,0
37989,-35470,2010,-21,0
49888,-41955,2009,-35,0
27999,-86222,2009,-6,0
30888,-88113,2009,-53,1
32914,-71742,2007,-48,0
23900,-56006,2007,-66,0
36992,-37060,2007,-19,1
32930,-63062,2008,-69,0
51888,-27190,2010,-71,0
2998,-157581,1994,0,0
27550,-68269,2008,-37,0
29492,-56538,2007,-22,0
25900,-48758,2005,-38,1
26995,-75381,2007,-19,0
44900,-57797,2009,-88,1
34990,-52877,2008,-1,0
31998,-92000,2010,-4,0
25873,-86312,2007,-89,0
62995,-12457,2013,-62,0
29995,-61582,2007,-4,0
16999,-74796,2005,-40,0
14992,-113738,2006,-62,0
57777,-47109,2010,-51,0
28995,-90210,2009,-64,0
32992,-77054,2008,-68,0
11995,-39574,2000,-43,0
33949,-50785,2009,-81,0
45000,-30376,2011,-43,1
59950,-20660,2012,-49,0
21995,-43267,2006,-54,0
9998,-119629,2003,-53,0
43991,-38264,2010,-40,1
27693,-71810,2007,-53,0
26500,-60756,2007,-48,0
12995,-94948,2003,-49,0
5995,-123478,2002,-56,0
35890,-39272,2008,-58,1
38495,-70150,2010,-66,0
8995,-110241,2004,-68,0
24995,-104861,2008,-47,0
16950,-83507,2006,-32,0
7995,-124176,2002,-25,0
5900,-142719,2000,-6,0
23494,-86228,2007,-6,0
8988,-85552,2002,-58,0
49999,-40129,2013,-57,0
12500,-174568,2005,-62,0
27995,-86209,2008,-80,0
46900,-30013,2010,-72,0
68995,-2325,2012,-69,0
10999,-140128,2001,-24,0
7500,-241010,2006,-9,0
56981,-30175,2012,-16,0
16495,-75012,2006,0,0
39850,-90364,2008,-63,0
38958,-28112,2010,-34,0
11498,-127354,2006,-55,0
36995,-28303,2008,-35,0
30995,-62550,2008,-73,0
8995,-97778,1997,-36,0
63990,-19175,2012,-36,1
21980,-38389,2004,0,1
9800,-131140,2004,-56,0
35988,-65467,2009,-34,1
15900,-83545,2002,-55,0
54500,-10285,2012,-79,0
38995,-44062,2012,-71,1
5999,-139572,2000,0,0
4950,-105226,1995,-27,0
33950,-66761,2009,-56,0
61990,-21730,2013,-32,0
45888,-41590,2011,-80,0
28888,-82998,2007,-70,0
4990,-190642,1999,-30,0
46995,-58268,2009,-53,1
4550,-159380,2000,-39,0
44999,-30020,2011,-67,1
22995,-71565,2007,-73,0
10900,-112345,2006,-23,0
13900,-104401,2003,-6,0
59991,-27186,2013,-64,0
35995,-40421,2008,-22,0
38990,-35399,2010,-65,1
42995,-70459,2008,-3,0
4990,-105230,1997,-38,0
35595,-58334,2009,-33,0
27990,-76235,2008,-35,0
26998,-76757,2007,-43,0
2100,-230985,1995,-15,0
22995,-97268,2007,-48,0
8991,-112190,2003,-26,0
69900,-35205,2011,-83,0
28765,-88264,2009,-83,0
11000,-97041,2003,-85,0
25989,-99784,2007,-52,0
58995,-14747,2013,-80,0
39495,-48430,2011,-12,0
34981,-19640,2007,-81,0
28800,-62147,2008,-20,0
46917,-69302,2007,-62,1
27995,-64930,2007,-37,0
77891,-10321,2013,0,0
38900,-68554,2010,-78,1
21990,-49700,2006,-50,0
5988,-106109,1994,-34,0
33900,-77556,2009,-63,0
2999,-87737,1995,-29,0
13900,-77850,2005,-59,0
29900,-80722,2009,-48,0
61994,-18572,2013,-8,0
7950,-76918,2000,-25,0
38888,-81200,2011,-43,0
35995,-48515,2009,-44,0
63891,-23001,2012,-69,0
9990,-51573,1995,-37,0
68991,-22142,2012,0,0
39999,-27221,2012,-64,0
29864,-80466,2008,-83,0
24995,-110061,2008,-86,0
35995,-32500,2009,-51,0
6900,-169608,2002,-22,0
11912,-113505,2005,-18,0
5800,-120829,2000,-37,0
44500,-79801,2009,-5,0
32900,-42035,2008,-58,1
33993,-80766,2009,-24,0
25995,-80005,2007,-9,0
9885,-70423,2003,-5,0
36861,-24781,2007,-26,0
42591,-38364,2011,-50,0
4995,-155098,2000,-64,0
33994,-64764,2009,-29,0
5995,-149922,2000,-15,0
3999,-147000,1997,-18,0
7995,-150723,2000,-10,0
15000,-73925,2003,-57,0
57000,-43571,2009,-47,0
14890,-104118,2005,-8,0
42900,-14530,2011,-70,0
5994,-125193,2000,-59,0
43995,-47894,2011,-17,1
6995,-178000,2002,-51,0
61900,-17492,2013,-69,1
18750,-58600,2005,-5,0
